dataset,true_label,gap
autodan,ATTACK,0.118553
autodan,ATTACK,0.224976
autodan,ATTACK,0.403833
autodan,ATTACK,0.579493
autodan,ATTACK,0.640157
autodan,ATTACK,0.748142
autodan,ATTACK,0.746437
autodan,ATTACK,0.820915
autodan,ATTACK,0.868199
autodan,ATTACK,0.720165
autodan,ATTACK,0.764654
autodan,ATTACK,0.804719
autodan,ATTACK,0.303869
autodan,ATTACK,0.444159
autodan,ATTACK,0.492584
autodan,ATTACK,0.749591
autodan,ATTACK,0.753842
autodan,ATTACK,0.539994
autodan,ATTACK,0.503285
autodan,ATTACK,0.745617
autodan,ATTACK,0.854025
autodan,ATTACK,0.822964
autodan,ATTACK,0.671672
autodan,ATTACK,0.819908
autodan,ATTACK,0.62964
autodan,ATTACK,0.865092
autodan,ATTACK,0.848786
autodan,ATTACK,0.817601
autodan,ATTACK,0.664454
autodan,ATTACK,0.791517
autodan,ATTACK,0.881218
autodan,ATTACK,0.742686
autodan,ATTACK,0.648979
autodan,ATTACK,0.887651
autodan,ATTACK,0.638033
autodan,ATTACK,0.560675
autodan,ATTACK,0.769797
autodan,ATTACK,0.59923
autodan,ATTACK,0.726312
autodan,ATTACK,0.872176
autodan,ATTACK,0.880029
autodan,ATTACK,0.816099
autodan,ATTACK,0.887655
autodan,ATTACK,0.693378
autodan,ATTACK,0.860782
autodan,ATTACK,0.900907
autodan,ATTACK,0.847979
autodan,ATTACK,0.900896
autodan,ATTACK,0.917222
autodan,ATTACK,0.866819
autodan,ATTACK,0.904527
autodan,ATTACK,0.902249
autodan,ATTACK,0.906881
autodan,ATTACK,0.779149
autodan,ATTACK,0.870115
autodan,ATTACK,0.813175
autodan,ATTACK,0.774068
autodan,ATTACK,0.899041
autodan,ATTACK,0.917005
autodan,ATTACK,0.68691
autodan,ATTACK,0.879799
autodan,ATTACK,0.882294
autodan,ATTACK,0.809343
autodan,ATTACK,0.897994
autodan,ATTACK,0.916964
autodan,ATTACK,0.599652
autodan,ATTACK,0.808117
autodan,ATTACK,0.781968
autodan,ATTACK,0.739506
autodan,ATTACK,0.560273
autodan,ATTACK,0.85474
autodan,ATTACK,0.833875
autodan,ATTACK,0.893224
autodan,ATTACK,0.899425
autodan,ATTACK,0.862518
autodan,ATTACK,0.799114
autodan,ATTACK,0.922441
autodan,ATTACK,0.95129
autodan,ATTACK,0.915112
autodan,ATTACK,0.891204
autodan,ATTACK,0.835998
autodan,ATTACK,0.835332
autodan,ATTACK,0.501831
autodan,ATTACK,0.77551
autodan,ATTACK,0.782737
autodan,ATTACK,0.866198
autodan,ATTACK,0.95258
autodan,ATTACK,0.893675
autodan,ATTACK,0.788008
autodan,ATTACK,0.82092
autodan,ATTACK,0.946585
autodan,ATTACK,0.890343
autodan,ATTACK,0.604925
autodan,ATTACK,0.918016
autodan,ATTACK,0.87684
autodan,ATTACK,0.794787
autodan,ATTACK,0.907525
autodan,ATTACK,0.810072
