dataset,true_label,gap
zulu,ATTACK,0.014095
zulu,ATTACK,-0.042256
zulu,ATTACK,0.022231
zulu,ATTACK,0.488372
zulu,ATTACK,0.166044
zulu,ATTACK,0.636619
zulu,ATTACK,0.714152
zulu,ATTACK,0.758299
zulu,ATTACK,0.672437
zulu,ATTACK,0.331806
zulu,ATTACK,0.582216
zulu,ATTACK,0.459257
zulu,ATTACK,0.722392
zulu,ATTACK,0.887456
zulu,ATTACK,0.576642
zulu,ATTACK,0.772543
zulu,ATTACK,0.679511
zulu,ATTACK,0.858173
zulu,ATTACK,0.874084
zulu,ATTACK,0.371695
zulu,ATTACK,0.637763
zulu,ATTACK,0.908463
zulu,ATTACK,0.722809
zulu,ATTACK,0.412463
zulu,ATTACK,0.821401
zulu,ATTACK,0.842105
zulu,ATTACK,0.862735
zulu,ATTACK,0.941949
zulu,ATTACK,0.571699
zulu,ATTACK,0.731314
zulu,ATTACK,0.53045
zulu,ATTACK,0.883746
zulu,ATTACK,0.777387
zulu,ATTACK,0.853878
zulu,ATTACK,0.666174
zulu,ATTACK,0.181704
zulu,ATTACK,0.758146
zulu,ATTACK,0.89919
zulu,ATTACK,0.91945
zulu,ATTACK,0.994838
zulu,ATTACK,0.931221
zulu,ATTACK,0.830376
zulu,ATTACK,0.825579
zulu,ATTACK,0.863814
zulu,ATTACK,0.955549
zulu,ATTACK,0.606924
zulu,ATTACK,0.850806
zulu,ATTACK,0.815292
zulu,ATTACK,0.93893
zulu,ATTACK,0.664539
zulu,ATTACK,0.666303
zulu,ATTACK,0.72576
zulu,ATTACK,0.80508
zulu,ATTACK,0.800077
zulu,ATTACK,0.924882
zulu,ATTACK,0.831158
zulu,ATTACK,0.801202
zulu,ATTACK,0.533775
zulu,ATTACK,0.91802
zulu,ATTACK,0.783646
zulu,ATTACK,0.612688
zulu,ATTACK,0.76751
zulu,ATTACK,0.980041
zulu,ATTACK,0.881088
zulu,ATTACK,0.758776
zulu,ATTACK,0.749054
zulu,ATTACK,0.452091
zulu,ATTACK,0.841872
zulu,ATTACK,0.696565
zulu,ATTACK,0.896504
zulu,ATTACK,1.01619
zulu,ATTACK,0.886085
zulu,ATTACK,0.733907
zulu,ATTACK,0.924291
zulu,ATTACK,0.898852
zulu,ATTACK,1.029872
zulu,ATTACK,0.975586
zulu,ATTACK,0.756666
zulu,ATTACK,0.74226
zulu,ATTACK,0.888947
zulu,ATTACK,0.898016
zulu,ATTACK,0.781836
zulu,ATTACK,0.839746
zulu,ATTACK,1.087166
zulu,ATTACK,0.881082
zulu,ATTACK,0.937907
zulu,ATTACK,0.849974
zulu,ATTACK,0.461507
zulu,ATTACK,0.493351
zulu,ATTACK,1.014424
zulu,ATTACK,0.9887
zulu,ATTACK,0.860198
zulu,ATTACK,0.80694
zulu,ATTACK,0.953167
zulu,ATTACK,0.518697
zulu,ATTACK,0.957435
zulu,ATTACK,0.907035
zulu,ATTACK,0.604792
zulu,ATTACK,0.831631
zulu,ATTACK,0.932858
zulu,ATTACK,0.773017
zulu,ATTACK,0.981925
zulu,ATTACK,0.940342
zulu,ATTACK,0.815468
zulu,ATTACK,0.750738
zulu,ATTACK,0.768494
zulu,ATTACK,0.969409
zulu,ATTACK,0.936887
zulu,ATTACK,0.949891
zulu,ATTACK,0.733787
zulu,ATTACK,1.068111
zulu,ATTACK,0.714601
zulu,ATTACK,0.732391
zulu,ATTACK,0.984606
zulu,ATTACK,0.330015
zulu,ATTACK,1.008331
zulu,ATTACK,0.777931
zulu,ATTACK,0.908761
zulu,ATTACK,0.8326
zulu,ATTACK,0.935572
zulu,ATTACK,0.743101
zulu,ATTACK,0.908705
zulu,ATTACK,0.958106
zulu,ATTACK,0.818231
zulu,ATTACK,0.903281
zulu,ATTACK,0.964347
zulu,ATTACK,0.955638
zulu,ATTACK,0.830198
zulu,ATTACK,0.789631
zulu,ATTACK,1.070154
zulu,ATTACK,0.747446
zulu,ATTACK,0.906066
zulu,ATTACK,0.912983
zulu,ATTACK,0.99729
zulu,ATTACK,0.87807
zulu,ATTACK,0.736479
zulu,ATTACK,0.86564
zulu,ATTACK,0.998746
zulu,ATTACK,0.840912
zulu,ATTACK,0.945164
