dataset,true_label,gap
autodan,ATTACK,0.069963
autodan,ATTACK,0.063287
autodan,ATTACK,0.04907
autodan,ATTACK,0.063148
autodan,ATTACK,0.075659
autodan,ATTACK,0.093955
autodan,ATTACK,0.098583
autodan,ATTACK,0.091746
autodan,ATTACK,0.174869
autodan,ATTACK,0.202497
autodan,ATTACK,0.104775
autodan,ATTACK,0.21009
autodan,ATTACK,0.111643
autodan,ATTACK,0.332824
autodan,ATTACK,0.230348
autodan,ATTACK,0.163819
autodan,ATTACK,0.143412
autodan,ATTACK,0.400651
autodan,ATTACK,0.432504
autodan,ATTACK,0.209322
autodan,ATTACK,0.314517
autodan,ATTACK,0.48226
autodan,ATTACK,0.568343
autodan,ATTACK,0.333648
autodan,ATTACK,0.458362
autodan,ATTACK,0.19995
autodan,ATTACK,0.515794
autodan,ATTACK,0.551513
autodan,ATTACK,0.28703
autodan,ATTACK,0.2351
autodan,ATTACK,0.246128
autodan,ATTACK,0.529725
autodan,ATTACK,0.472022
autodan,ATTACK,0.093993
autodan,ATTACK,0.357788
autodan,ATTACK,0.05595
autodan,ATTACK,0.327573
autodan,ATTACK,0.335442
autodan,ATTACK,0.287116
autodan,ATTACK,0.587155
autodan,ATTACK,0.279263
autodan,ATTACK,0.241591
autodan,ATTACK,0.284788
autodan,ATTACK,0.609946
autodan,ATTACK,0.514497
autodan,ATTACK,0.248243
autodan,ATTACK,0.18185
autodan,ATTACK,0.619797
autodan,ATTACK,0.28821
autodan,ATTACK,0.575489
autodan,ATTACK,0.622011
autodan,ATTACK,0.180432
autodan,ATTACK,0.245641
autodan,ATTACK,0.397127
autodan,ATTACK,0.475235
autodan,ATTACK,0.639482
autodan,ATTACK,0.216481
autodan,ATTACK,0.259947
autodan,ATTACK,0.631849
autodan,ATTACK,0.587903
autodan,ATTACK,0.350471
autodan,ATTACK,0.189686
autodan,ATTACK,0.357665
autodan,ATTACK,0.485207
autodan,ATTACK,0.285974
autodan,ATTACK,0.442555
autodan,ATTACK,0.259153
autodan,ATTACK,0.220662
autodan,ATTACK,0.407378
autodan,ATTACK,0.549974
autodan,ATTACK,0.598879
autodan,ATTACK,0.290028
autodan,ATTACK,0.386323
autodan,ATTACK,0.680216
autodan,ATTACK,0.391197
autodan,ATTACK,0.442049
autodan,ATTACK,0.682447
autodan,ATTACK,0.335106
autodan,ATTACK,0.270647
autodan,ATTACK,0.643594
autodan,ATTACK,0.281686
autodan,ATTACK,0.341482
autodan,ATTACK,0.202914
autodan,ATTACK,0.567219
autodan,ATTACK,0.313496
autodan,ATTACK,0.369828
autodan,ATTACK,0.497794
autodan,ATTACK,0.27706
autodan,ATTACK,0.349204
autodan,ATTACK,0.601032
autodan,ATTACK,0.543542
autodan,ATTACK,0.588707
autodan,ATTACK,0.290127
autodan,ATTACK,0.714544
autodan,ATTACK,0.323454
autodan,ATTACK,0.654444
