dataset,true_label,gap
autodan,ATTACK,0.185743
autodan,ATTACK,0.218536
autodan,ATTACK,0.182075
autodan,ATTACK,0.230293
autodan,ATTACK,0.256028
autodan,ATTACK,0.390006
autodan,ATTACK,0.461246
autodan,ATTACK,0.617777
autodan,ATTACK,0.695417
autodan,ATTACK,0.430214
autodan,ATTACK,0.556213
autodan,ATTACK,0.694192
autodan,ATTACK,0.551052
autodan,ATTACK,0.582096
autodan,ATTACK,0.579653
autodan,ATTACK,0.648429
autodan,ATTACK,0.699038
autodan,ATTACK,0.684285
autodan,ATTACK,0.672755
autodan,ATTACK,0.746098
autodan,ATTACK,0.755761
autodan,ATTACK,0.783622
autodan,ATTACK,0.716064
autodan,ATTACK,0.751207
autodan,ATTACK,0.693502
autodan,ATTACK,0.792129
autodan,ATTACK,0.802656
autodan,ATTACK,0.794611
autodan,ATTACK,0.759731
autodan,ATTACK,0.748418
autodan,ATTACK,0.836564
autodan,ATTACK,0.635659
autodan,ATTACK,0.734588
autodan,ATTACK,0.835444
autodan,ATTACK,0.569357
autodan,ATTACK,0.538223
autodan,ATTACK,0.717554
autodan,ATTACK,0.753776
autodan,ATTACK,0.797616
autodan,ATTACK,0.850886
autodan,ATTACK,0.814668
autodan,ATTACK,0.748553
autodan,ATTACK,0.855479
autodan,ATTACK,0.787968
autodan,ATTACK,0.83814
autodan,ATTACK,0.879912
autodan,ATTACK,0.786824
autodan,ATTACK,0.876529
autodan,ATTACK,0.875684
autodan,ATTACK,0.858629
autodan,ATTACK,0.810516
autodan,ATTACK,0.8895
autodan,ATTACK,0.861947
autodan,ATTACK,0.852196
autodan,ATTACK,0.827007
autodan,ATTACK,0.794489
autodan,ATTACK,0.819334
autodan,ATTACK,0.861021
autodan,ATTACK,0.874084
autodan,ATTACK,0.716831
autodan,ATTACK,0.832704
autodan,ATTACK,0.855791
autodan,ATTACK,0.726251
autodan,ATTACK,0.787728
autodan,ATTACK,0.855821
autodan,ATTACK,0.740825
autodan,ATTACK,0.70094
autodan,ATTACK,0.826062
autodan,ATTACK,0.802432
autodan,ATTACK,0.566771
autodan,ATTACK,0.817098
autodan,ATTACK,0.832798
autodan,ATTACK,0.888162
autodan,ATTACK,0.926569
autodan,ATTACK,0.834476
autodan,ATTACK,0.877261
autodan,ATTACK,0.863451
autodan,ATTACK,0.918943
autodan,ATTACK,0.852824
autodan,ATTACK,0.821111
autodan,ATTACK,0.834511
autodan,ATTACK,0.752021
autodan,ATTACK,0.51133
autodan,ATTACK,0.741069
autodan,ATTACK,0.912926
autodan,ATTACK,0.782452
autodan,ATTACK,0.913752
autodan,ATTACK,0.863277
autodan,ATTACK,0.786439
autodan,ATTACK,0.802606
autodan,ATTACK,0.853853
autodan,ATTACK,0.892022
autodan,ATTACK,0.724381
autodan,ATTACK,0.875485
autodan,ATTACK,0.835908
autodan,ATTACK,0.765905
autodan,ATTACK,0.906212
autodan,ATTACK,0.861498
autodan,ATTACK,0.789313
autodan,ATTACK,0.612182
autodan,ATTACK,0.785264
autodan,ATTACK,0.850329
autodan,ATTACK,0.663385
autodan,ATTACK,0.896396
autodan,ATTACK,0.77299
autodan,ATTACK,0.896336
autodan,ATTACK,0.873318
autodan,ATTACK,0.924166
autodan,ATTACK,0.779807
autodan,ATTACK,0.902831
autodan,ATTACK,0.899422
autodan,ATTACK,0.82098
autodan,ATTACK,0.749375
autodan,ATTACK,0.770399
autodan,ATTACK,0.866214
autodan,ATTACK,0.694728
autodan,ATTACK,0.655084
autodan,ATTACK,0.831052
autodan,ATTACK,0.640617
autodan,ATTACK,0.794215
autodan,ATTACK,0.867606
autodan,ATTACK,0.798194
autodan,ATTACK,0.676544
autodan,ATTACK,0.904974
autodan,ATTACK,0.729262
autodan,ATTACK,0.824509
autodan,ATTACK,0.871826
autodan,ATTACK,0.868969
autodan,ATTACK,0.897277
autodan,ATTACK,0.770203
autodan,ATTACK,0.828325
autodan,ATTACK,0.854412
autodan,ATTACK,0.831733
autodan,ATTACK,0.927715
autodan,ATTACK,0.817423
autodan,ATTACK,0.917029
autodan,ATTACK,0.781931
autodan,ATTACK,0.874012
autodan,ATTACK,0.663876
autodan,ATTACK,0.755643
autodan,ATTACK,0.877683
autodan,ATTACK,0.75066
autodan,ATTACK,0.892623
autodan,ATTACK,0.907933
autodan,ATTACK,0.858539
autodan,ATTACK,0.936522
autodan,ATTACK,0.85955
autodan,ATTACK,0.720258
autodan,ATTACK,0.61267
autodan,ATTACK,0.785621
autodan,ATTACK,0.86911
autodan,ATTACK,0.791034
autodan,ATTACK,0.889557
