dataset,true_label,gap
autodan,ATTACK,0.071337
autodan,ATTACK,0.062423
autodan,ATTACK,0.050306
autodan,ATTACK,0.057506
autodan,ATTACK,0.090608
autodan,ATTACK,0.084433
autodan,ATTACK,0.064654
autodan,ATTACK,0.054074
autodan,ATTACK,0.149436
autodan,ATTACK,0.193511
autodan,ATTACK,0.077532
autodan,ATTACK,0.207623
autodan,ATTACK,0.04901
autodan,ATTACK,0.174425
autodan,ATTACK,0.230185
autodan,ATTACK,0.132512
autodan,ATTACK,0.117572
autodan,ATTACK,0.404838
autodan,ATTACK,0.441336
autodan,ATTACK,0.110699
autodan,ATTACK,0.258748
autodan,ATTACK,0.470162
autodan,ATTACK,0.554967
autodan,ATTACK,0.379775
autodan,ATTACK,0.472726
autodan,ATTACK,0.186298
autodan,ATTACK,0.508251
autodan,ATTACK,0.560198
autodan,ATTACK,0.263907
autodan,ATTACK,0.214139
autodan,ATTACK,0.245402
autodan,ATTACK,0.553144
autodan,ATTACK,0.471984
autodan,ATTACK,0.111221
autodan,ATTACK,0.317518
autodan,ATTACK,0.2102
autodan,ATTACK,0.309919
autodan,ATTACK,0.302345
autodan,ATTACK,0.280939
autodan,ATTACK,0.580208
autodan,ATTACK,0.26205
autodan,ATTACK,0.225808
autodan,ATTACK,0.244057
autodan,ATTACK,0.610303
autodan,ATTACK,0.51163
autodan,ATTACK,0.196825
autodan,ATTACK,0.189786
autodan,ATTACK,0.621235
autodan,ATTACK,0.286159
autodan,ATTACK,0.576231
autodan,ATTACK,0.626801
autodan,ATTACK,0.244035
autodan,ATTACK,0.233185
autodan,ATTACK,0.348398
autodan,ATTACK,0.481569
autodan,ATTACK,0.638808
autodan,ATTACK,0.176153
autodan,ATTACK,0.225283
autodan,ATTACK,0.629065
autodan,ATTACK,0.596431
autodan,ATTACK,0.326183
autodan,ATTACK,0.157027
autodan,ATTACK,0.35385
autodan,ATTACK,0.492624
autodan,ATTACK,0.308028
autodan,ATTACK,0.441285
autodan,ATTACK,0.244834
autodan,ATTACK,0.219005
