dataset,true_label,gap
base64,ATTACK,0.977402
base64,ATTACK,0.53571
base64,ATTACK,0.793275
base64,ATTACK,0.615802
base64,ATTACK,0.749223
base64,ATTACK,0.849013
base64,ATTACK,0.834026
base64,ATTACK,0.988948
base64,ATTACK,0.541004
base64,ATTACK,0.980337
base64,ATTACK,0.930356
base64,ATTACK,0.497784
base64,ATTACK,0.963421
base64,ATTACK,0.938393
base64,ATTACK,0.922696
base64,ATTACK,0.662269
base64,ATTACK,0.858186
base64,ATTACK,0.942874
base64,ATTACK,0.895157
base64,ATTACK,0.899722
base64,ATTACK,0.908629
base64,ATTACK,0.925051
base64,ATTACK,0.504586
base64,ATTACK,0.878082
base64,ATTACK,0.946317
base64,ATTACK,0.707188
base64,ATTACK,0.854144
base64,ATTACK,0.92959
base64,ATTACK,0.42263
base64,ATTACK,0.965163
base64,ATTACK,0.662753
base64,ATTACK,0.932664
base64,ATTACK,0.996302
base64,ATTACK,0.591875
base64,ATTACK,0.945951
base64,ATTACK,0.703238
base64,ATTACK,0.895116
base64,ATTACK,0.964593
base64,ATTACK,0.681619
base64,ATTACK,0.821501
base64,ATTACK,1.006071
base64,ATTACK,0.98827
base64,ATTACK,0.681805
base64,ATTACK,0.954171
base64,ATTACK,1.012964
base64,ATTACK,0.664478
base64,ATTACK,0.674143
base64,ATTACK,1.027657
base64,ATTACK,0.953299
base64,ATTACK,0.623517
base64,ATTACK,0.744093
base64,ATTACK,0.962373
base64,ATTACK,1.007549
base64,ATTACK,0.655883
base64,ATTACK,0.912996
base64,ATTACK,0.876689
base64,ATTACK,0.749722
base64,ATTACK,0.583032
base64,ATTACK,0.997778
base64,ATTACK,0.968722
base64,ATTACK,0.973877
base64,ATTACK,0.74912
base64,ATTACK,0.936173
base64,ATTACK,0.688112
base64,ATTACK,0.992373
base64,ATTACK,0.998053
base64,ATTACK,0.957815
base64,ATTACK,0.87565
base64,ATTACK,0.655654
base64,ATTACK,0.987061
base64,ATTACK,1.017514
base64,ATTACK,0.95665
base64,ATTACK,0.949605
base64,ATTACK,1.00978
base64,ATTACK,0.950109
base64,ATTACK,0.982311
base64,ATTACK,0.717798
base64,ATTACK,0.991425
base64,ATTACK,0.970474
base64,ATTACK,0.774863
base64,ATTACK,1.001776
base64,ATTACK,0.971659
base64,ATTACK,0.913308
base64,ATTACK,0.849471
base64,ATTACK,1.004418
base64,ATTACK,0.951623
base64,ATTACK,0.998524
base64,ATTACK,0.822102
base64,ATTACK,0.979935
base64,ATTACK,0.990698
base64,ATTACK,0.982865
base64,ATTACK,1.001733
base64,ATTACK,0.927631
base64,ATTACK,0.919965
base64,ATTACK,0.953146
base64,ATTACK,0.898411
base64,ATTACK,0.991328
base64,ATTACK,1.013966
base64,ATTACK,0.968861
base64,ATTACK,0.967758
base64,ATTACK,0.920597
base64,ATTACK,0.5303
base64,ATTACK,0.946713
base64,ATTACK,1.002176
base64,ATTACK,0.66843
base64,ATTACK,1.027707
base64,ATTACK,0.734722
base64,ATTACK,1.011773
base64,ATTACK,0.972274
base64,ATTACK,0.998064
base64,ATTACK,0.618578
base64,ATTACK,0.946176
base64,ATTACK,0.984331
base64,ATTACK,0.930727
base64,ATTACK,0.957814
base64,ATTACK,1.014237
base64,ATTACK,0.952608
base64,ATTACK,0.941815
base64,ATTACK,0.9816
base64,ATTACK,0.575828
base64,ATTACK,1.008881
base64,ATTACK,0.97431
base64,ATTACK,0.974537
base64,ATTACK,0.970847
base64,ATTACK,0.995025
base64,ATTACK,0.983141
base64,ATTACK,0.754547
base64,ATTACK,1.00118
base64,ATTACK,1.008324
base64,ATTACK,0.981925
base64,ATTACK,0.816012
base64,ATTACK,0.96837
base64,ATTACK,0.897561
base64,ATTACK,1.002014
base64,ATTACK,0.979853
base64,ATTACK,0.995627
base64,ATTACK,0.962054
base64,ATTACK,0.972905
base64,ATTACK,0.976831
base64,ATTACK,1.042791
base64,ATTACK,1.02889
base64,ATTACK,1.065409
base64,ATTACK,0.97546
base64,ATTACK,1.009505
base64,ATTACK,0.990597
base64,ATTACK,1.019674
base64,ATTACK,0.964422
base64,ATTACK,0.981125
base64,ATTACK,0.979687
base64,ATTACK,0.961414
base64,ATTACK,0.976264
base64,ATTACK,1.005665
base64,ATTACK,0.993074
base64,ATTACK,1.002344
base64,ATTACK,0.999169
base64,ATTACK,0.941788
base64,ATTACK,0.614938
base64,ATTACK,1.007751
base64,ATTACK,1.024525
base64,ATTACK,0.881769
base64,ATTACK,0.993721
base64,ATTACK,0.799929
base64,ATTACK,0.79624
base64,ATTACK,1.023427
base64,ATTACK,0.967011
base64,ATTACK,0.968173
base64,ATTACK,0.623485
base64,ATTACK,1.045024
base64,ATTACK,0.976136
base64,ATTACK,0.991347
base64,ATTACK,0.938561
base64,ATTACK,0.954322
base64,ATTACK,0.982646
base64,ATTACK,0.715035
base64,ATTACK,1.03542
base64,ATTACK,1.016821
base64,ATTACK,0.828551
base64,ATTACK,1.146436
base64,ATTACK,0.918334
base64,ATTACK,0.932586
base64,ATTACK,0.97669
base64,ATTACK,0.977372
base64,ATTACK,1.140949
base64,ATTACK,1.001964
base64,ATTACK,0.924427
base64,ATTACK,0.985478
base64,ATTACK,0.995803
base64,ATTACK,0.713448
base64,ATTACK,1.03048
base64,ATTACK,0.958484
base64,ATTACK,0.895474
base64,ATTACK,1.079726
base64,ATTACK,0.962449
base64,ATTACK,0.971098
base64,ATTACK,0.968386
base64,ATTACK,0.923905
base64,ATTACK,1.015142
base64,ATTACK,0.983035
base64,ATTACK,0.719957
base64,ATTACK,0.98194
base64,ATTACK,0.966334
base64,ATTACK,1.00412
base64,ATTACK,1.007442
base64,ATTACK,1.146846
base64,ATTACK,1.012868
base64,ATTACK,0.586788
base64,ATTACK,0.990532
base64,ATTACK,0.6641
base64,ATTACK,1.073992
base64,ATTACK,0.751677
base64,ATTACK,1.005981
base64,ATTACK,0.95735
base64,ATTACK,0.533824
base64,ATTACK,0.682642
base64,ATTACK,0.985532
base64,ATTACK,0.965825
base64,ATTACK,0.989439
base64,ATTACK,1.041934
base64,ATTACK,0.968956
base64,ATTACK,1.002041
base64,ATTACK,0.994102
base64,ATTACK,0.980708
base64,ATTACK,0.992284
base64,ATTACK,0.963417
base64,ATTACK,1.074045
base64,ATTACK,0.952524
base64,ATTACK,0.545046
base64,ATTACK,0.959817
base64,ATTACK,0.85592
base64,ATTACK,0.954249
base64,ATTACK,0.926255
base64,ATTACK,0.717387
base64,ATTACK,1.053893
base64,ATTACK,0.95559
base64,ATTACK,1.003616
base64,ATTACK,1.00713
base64,ATTACK,0.910451
base64,ATTACK,0.996296
base64,ATTACK,1.073043
base64,ATTACK,1.009838
