dataset,true_label,gap
zulu,ATTACK,-0.000309
zulu,ATTACK,0.015938
zulu,ATTACK,0.01438
zulu,ATTACK,-0.014901
zulu,ATTACK,0.009672
zulu,ATTACK,0.019126
zulu,ATTACK,0.042442
zulu,ATTACK,0.009997
zulu,ATTACK,-0.000601
zulu,ATTACK,0.009613
zulu,ATTACK,0.009463
zulu,ATTACK,-0.016513
zulu,ATTACK,0.02632
zulu,ATTACK,-0.011161
zulu,ATTACK,-0.00066
zulu,ATTACK,0.007695
zulu,ATTACK,0.014177
zulu,ATTACK,0.0092
zulu,ATTACK,-0.091476
zulu,ATTACK,0.004199
zulu,ATTACK,0.008797
zulu,ATTACK,0.004836
zulu,ATTACK,0.007941
zulu,ATTACK,0.031244
zulu,ATTACK,0.021288
zulu,ATTACK,0.018348
zulu,ATTACK,0.025334
zulu,ATTACK,0.009094
zulu,ATTACK,-0.111022
zulu,ATTACK,-0.100045
zulu,ATTACK,-0.24259
zulu,ATTACK,-0.343656
zulu,ATTACK,-0.467017
zulu,ATTACK,-0.538848
zulu,ATTACK,-0.624315
zulu,ATTACK,-0.681453
zulu,ATTACK,-0.774003
zulu,ATTACK,-0.686217
zulu,ATTACK,-0.726504
zulu,ATTACK,-0.823668
zulu,ATTACK,-0.82966
zulu,ATTACK,-0.791995
zulu,ATTACK,-0.903217
zulu,ATTACK,-0.790259
zulu,ATTACK,-0.81185
zulu,ATTACK,-0.816148
zulu,ATTACK,-0.923849
zulu,ATTACK,-0.847483
zulu,ATTACK,-0.755226
zulu,ATTACK,-0.853588
zulu,ATTACK,-0.966097
zulu,ATTACK,-0.806345
zulu,ATTACK,-0.61645
zulu,ATTACK,-0.858756
zulu,ATTACK,-0.96046
zulu,ATTACK,-0.832219
zulu,ATTACK,-0.582601
zulu,ATTACK,-0.842568
zulu,ATTACK,-0.934953
zulu,ATTACK,-0.957013
zulu,ATTACK,-0.776089
zulu,ATTACK,-0.861336
zulu,ATTACK,-0.882727
zulu,ATTACK,-0.956245
zulu,ATTACK,-0.714684
zulu,ATTACK,-0.950124
zulu,ATTACK,-0.811267
zulu,ATTACK,-0.410133
zulu,ATTACK,-0.894193
zulu,ATTACK,-0.798791
zulu,ATTACK,-0.815225
zulu,ATTACK,-0.9252
zulu,ATTACK,-0.962757
zulu,ATTACK,-1.017115
zulu,ATTACK,-1.018124
zulu,ATTACK,-0.527939
zulu,ATTACK,-0.91292
zulu,ATTACK,-1.001257
zulu,ATTACK,-0.897312
zulu,ATTACK,-0.778099
zulu,ATTACK,-0.821087
zulu,ATTACK,-0.905919
zulu,ATTACK,-0.7113
zulu,ATTACK,-0.874513
zulu,ATTACK,-0.522075
zulu,ATTACK,-0.894504
zulu,ATTACK,-0.903336
zulu,ATTACK,-0.837773
zulu,ATTACK,-0.89506
zulu,ATTACK,-0.899677
zulu,ATTACK,-0.812729
zulu,ATTACK,-1.032245
zulu,ATTACK,-0.662009
zulu,ATTACK,-1.046654
zulu,ATTACK,-0.778597
zulu,ATTACK,-0.754983
zulu,ATTACK,-0.941199
zulu,ATTACK,-0.898798
zulu,ATTACK,-0.961322
zulu,ATTACK,-0.700913
zulu,ATTACK,-0.874454
zulu,ATTACK,-0.940874
zulu,ATTACK,-0.830368
zulu,ATTACK,-0.925533
zulu,ATTACK,-0.686843
zulu,ATTACK,-0.80218
zulu,ATTACK,-0.513725
zulu,ATTACK,-0.754008
zulu,ATTACK,-0.420249
zulu,ATTACK,-0.962873
zulu,ATTACK,-0.56763
zulu,ATTACK,-0.815088
zulu,ATTACK,-0.973907
zulu,ATTACK,-0.820155
zulu,ATTACK,-0.958842
zulu,ATTACK,-1.103432
zulu,ATTACK,-0.911316
zulu,ATTACK,-0.795695
zulu,ATTACK,-0.717979
zulu,ATTACK,-0.588968
zulu,ATTACK,-0.84613
zulu,ATTACK,-0.991351
zulu,ATTACK,-0.989417
zulu,ATTACK,-0.898214
zulu,ATTACK,-1.035491
zulu,ATTACK,-0.563051
zulu,ATTACK,-0.720549
zulu,ATTACK,-1.024451
zulu,ATTACK,-0.809364
zulu,ATTACK,-0.89908
zulu,ATTACK,-0.955032
zulu,ATTACK,-1.036054
zulu,ATTACK,-0.702728
zulu,ATTACK,-0.471102
zulu,ATTACK,-0.948581
zulu,ATTACK,-0.623739
zulu,ATTACK,-0.923334
zulu,ATTACK,-0.739939
zulu,ATTACK,-0.928171
zulu,ATTACK,-0.885031
zulu,ATTACK,-0.927794
zulu,ATTACK,-0.877997
zulu,ATTACK,-0.826328
zulu,ATTACK,-0.915443
zulu,ATTACK,-0.834423
zulu,ATTACK,-0.80074
zulu,ATTACK,-0.848693
zulu,ATTACK,-0.808785
zulu,ATTACK,-0.935509
zulu,ATTACK,-0.841065
zulu,ATTACK,-0.955779
zulu,ATTACK,-0.904078
zulu,ATTACK,-0.85954
zulu,ATTACK,-0.867667
zulu,ATTACK,-0.832499
zulu,ATTACK,-1.025014
zulu,ATTACK,-1.024395
zulu,ATTACK,-1.029165
zulu,ATTACK,-0.784162
zulu,ATTACK,-0.83991
zulu,ATTACK,-0.998031
zulu,ATTACK,-0.818613
zulu,ATTACK,-1.15097
zulu,ATTACK,-0.904106
zulu,ATTACK,-0.992132
zulu,ATTACK,-0.974006
zulu,ATTACK,-0.761157
zulu,ATTACK,-0.905599
zulu,ATTACK,-0.888592
zulu,ATTACK,-1.099816
zulu,ATTACK,-0.904509
zulu,ATTACK,-0.881435
zulu,ATTACK,-0.947012
zulu,ATTACK,-0.829029
zulu,ATTACK,-0.937819
zulu,ATTACK,-0.845958
zulu,ATTACK,-0.88299
zulu,ATTACK,-0.871658
zulu,ATTACK,-0.790078
zulu,ATTACK,-0.946659
zulu,ATTACK,-0.834828
zulu,ATTACK,-1.16213
zulu,ATTACK,-1.058324
zulu,ATTACK,-1.013965
zulu,ATTACK,-1.079953
zulu,ATTACK,-1.039123
zulu,ATTACK,-1.144107
zulu,ATTACK,-0.957572
zulu,ATTACK,-0.912208
zulu,ATTACK,-0.869452
zulu,ATTACK,-0.977005
zulu,ATTACK,-1.033728
zulu,ATTACK,-0.941588
zulu,ATTACK,-0.789012
zulu,ATTACK,-0.92453
zulu,ATTACK,-1.024149
zulu,ATTACK,-1.170829
zulu,ATTACK,-0.939043
zulu,ATTACK,-1.086968
zulu,ATTACK,-1.002236
zulu,ATTACK,-0.884942
zulu,ATTACK,-0.89481
zulu,ATTACK,-0.89563
zulu,ATTACK,-0.952392
zulu,ATTACK,-1.191284
zulu,ATTACK,-0.923528
zulu,ATTACK,-0.910339
zulu,ATTACK,-1.03817
zulu,ATTACK,-0.760415
zulu,ATTACK,-0.925251
zulu,ATTACK,-0.847187
zulu,ATTACK,-0.982895
zulu,ATTACK,-0.986924
zulu,ATTACK,-1.118666
zulu,ATTACK,-1.149581
zulu,ATTACK,-0.935843
zulu,ATTACK,-0.789697
zulu,ATTACK,-0.996801
zulu,ATTACK,-0.99829
zulu,ATTACK,-0.886752
zulu,ATTACK,-0.788817
zulu,ATTACK,-0.852108
zulu,ATTACK,-0.911808
zulu,ATTACK,-0.992514
zulu,ATTACK,-1.113139
zulu,ATTACK,-0.948687
zulu,ATTACK,-0.876322
zulu,ATTACK,-0.934248
zulu,ATTACK,-1.128916
zulu,ATTACK,-0.939793
zulu,ATTACK,-0.99021
zulu,ATTACK,-0.940218
zulu,ATTACK,-0.548952
zulu,ATTACK,-0.862228
zulu,ATTACK,-0.816128
zulu,ATTACK,-0.928671
zulu,ATTACK,-1.027044
zulu,ATTACK,-0.994252
zulu,ATTACK,-0.92328
zulu,ATTACK,-0.517031
zulu,ATTACK,-0.938057
zulu,ATTACK,-0.811548
zulu,ATTACK,-0.999718
zulu,ATTACK,-0.855603
zulu,ATTACK,-1.063361
zulu,ATTACK,-0.892491
zulu,ATTACK,-1.046116
zulu,ATTACK,-0.883566
zulu,ATTACK,-0.943314
zulu,ATTACK,-0.969818
zulu,ATTACK,-0.713757
zulu,ATTACK,-1.099294
zulu,ATTACK,-0.920585
zulu,ATTACK,-0.955758
zulu,ATTACK,-0.918838
zulu,ATTACK,-0.737638
zulu,ATTACK,-0.787387
zulu,ATTACK,-0.890183
zulu,ATTACK,-0.934674
zulu,ATTACK,-0.820226
zulu,ATTACK,-0.694938
zulu,ATTACK,-0.86858
zulu,ATTACK,-1.113827
zulu,ATTACK,-0.892704
zulu,ATTACK,-0.846162
zulu,ATTACK,-0.688452
zulu,ATTACK,-0.992205
zulu,ATTACK,-0.887282
zulu,ATTACK,-0.998289
zulu,ATTACK,-0.936062
zulu,ATTACK,-0.803659
zulu,ATTACK,-1.048016
zulu,ATTACK,-1.148678
zulu,ATTACK,-1.156517
zulu,ATTACK,-0.934068
zulu,ATTACK,-0.94747
zulu,ATTACK,-0.958168
zulu,ATTACK,-0.980537
zulu,ATTACK,-1.075621
zulu,ATTACK,-0.781369
zulu,ATTACK,-0.950799
zulu,ATTACK,-0.579983
zulu,ATTACK,-1.081524
zulu,ATTACK,-1.172882
zulu,ATTACK,-0.966529
